arquivo,status,detalhe
1UN ADESIVO IMPRESSA 2.30X2.30M_TM1_Tiktok Criadores_PALCO_PAINEIS_01_THRIVE_200cmX200cm_Sangria15cm.pdf,OK,Categoria: ADESIVO | Páginas processadas: 1 | Medida: 2.30X2.30M → 2.30m x 2.30m = 5.29m² | ⚠️ Peça mais larga que o rolo — desperdício não calculado
1UN LONA IMPRESSA 2.30X2.30M_TM1_Tiktok Criadores_PALCO_PAINEIS_01_BLAZE_200cmX200cm_Sangria15cm.pdf,OK,Categoria: LONA | Páginas processadas: 1 | Medida: 2.30X2.30M → 2.30m x 2.30m = 5.29m² | Desperdício estimado: 2.07m²
1UN MDF 9MM RECORTE_TM1_Tiktok Criadores 1.56X1.75M.pdf,OK,Categoria: MDF | Páginas processadas: 1 | Medida: 1.56X1.75M → 1.56m x 1.75m = 2.73m² | Desperdício estimado: 0.51m²
1UN PS IMPRESSO RECORTE CONTORNO 2.70X0.20M_TM1_Tiktok Criadores_PAINEL01_PLACA_249cmX20cm_sangria10cm.pdf,OK,Categoria: PS | Páginas processadas: 2 | Medida: 2.70X0.20M → 2.70m x 0.20m = 0.54m² | Desperdício estimado: 4.86m²
1UN PVC 10MM RECORTE_TM1_Tiktok Criadores_Credenciamento_LANDMARK_XPS_LOGO_52X60XM.pdf,OK,Categoria: PVC | Páginas processadas: 1 | Medida: 52X60XM → 0.52m x 0.60m = 0.31m² (unidade corrigida de XM para CM) | Desperdício estimado: 0.42m²
1UN Vinil IMPRESSA 2.30X2.30M_TM1_Tiktok Criadores_PALCO_PAINEIS_01_EMBER_200cmX200cm_Sangria15cm.pdf,OK,Categoria: ADESIVO | Páginas processadas: 1 | Medida: 2.30X2.30M → 2.30m x 2.30m = 5.29m² | ⚠️ Peça mais larga que o rolo — desperdício não calculado
